f,p,Pwr,b2mo_ar,b2mo_ne,b2mo_he
50.0,2,240.0,0.479585148045863,1.03922490926292,3.06846818799289
50.0,2,241.0,0.479095155172735,1.03961047091272,3.06358721332728
50.0,2,242.0,0.478609155390082,1.03999316742748,3.05874012874943
50.0,2,243.0,0.478127095950735,1.04037303097353,3.05392655568833
50.0,2,244.0,0.477648925057372,1.04075009322574,3.04914612137023
50.0,2,245.0,0.477174591841055,1.04112438537698,3.04439845871291
50.0,2,246.0,0.476704046340397,1.04149593814736,3.03968320620349
50.0,2,247.0,0.476237239480934,1.04186478179328,3.03500000782553
50.0,2,248.0,0.475774123055374,1.04223094611609,3.03034851287834
50.0,2,249.0,0.475314649704227,1.04259446047061,3.02572837598281
50.0,2,250.0,0.474858772897023,1.04295535377291,3.02113925686141
60.0,2,150.0,0.399736498714082,0.890926524857291,3.95866235513219
60.0,2,151.0,0.402533743062584,0.893054009221806,3.9475379787609
60.0,2,152.0,0.405319605906213,0.895159512483296,3.93662245478197
60.0,2,153.0,0.408094100154984,0.897243341740382,3.92591028413894
60.0,2,154.0,0.410857239944527,0.899305798792413,3.91539615265011
60.0,2,155.0,0.413609040597401,0.901347180268758,3.90507492347862
60.0,2,156.0,0.416349518584345,0.903367777700984,3.89494162995666
60.0,2,157.0,0.419078691486997,0.905367877638512,3.8849914687697
60.0,2,158.0,0.421796577961435,0.907347761786654,3.87521979341892
60.0,2,159.0,0.424503197702712,0.909307707052573,3.86562210804183
60.0,2,160.0,0.427198571410034,0.911247985670038,3.85619406146939
60.0,2,161.0,0.429882720753211,0.913168865287897,3.84693144164072
60.0,2,162.0,0.432555668339659,0.915070609060899,3.8378301701018
60.0,2,163.0,0.435217437681919,0.916953475740955,3.82888629697174
60.0,2,164.0,0.437868053168755,0.918817719762727,3.82009599598165
60.0,2,165.0,0.440507540029968,0.920663591329921,3.81145555978108
60.0,2,166.0,0.443135924311803,0.922491336498003,4.19533055229332
60.0,2,167.0,0.445753232845048,0.924301197255977,4.1834236964262
60.0,2,168.0,0.448359493217985,0.926093411605543,4.17164345556828
60.0,2,169.0,0.450954733748781,0.927868213638729,4.15998759596796
60.0,2,170.0,0.453538983458732,0.929625833613761,4.14845392901164
60.0,2,171.0,0.60587197510808,0.931366498029212,4.13704033774595
60.0,2,172.0,0.604294060524335,0.933090429695671,4.12574474665795
60.0,2,173.0,0.602738433510292,0.934797847808325,4.1145651343177
60.0,2,174.0,0.601204602594337,0.936488968013716,4.10349952852977
60.0,2,175.0,0.599692090852568,0.938164002479163,4.09254600509447
60.0,2,176.0,0.598200435371148,0.939823159958105,4.08170268611408
60.0,2,177.0,0.596729186733689,0.941466645854997,4.07096773854496
60.0,2,178.0,0.595277908527884,0.943094662288435,4.06033937280542
60.0,2,179.0,0.593846176877901,0.94470740815314,4.04981584141742
60.0,2,180.0,0.592433579993407,0.960305676430364,4.03939543769737
60.0,2,181.0,0.591039717740199,0.961154319252847,4.02907649451887
60.0,2,182.0,0.589664201225439,0.961994774588532,4.01885738309629
60.0,2,183.0,0.588306652413229,0.962827165379984,4.00873651183123
60.0,2,184.0,0.586966703727563,0.96365161205226,3.99871232520373
60.0,2,185.0,0.585643997708653,0.964468232571953,3.98878330269038
60.0,2,186.0,0.584338186645944,0.965277142522915,3.97894795772558
60.0,2,187.0,0.583048932300462,0.966078457385115,3.96920483676181
60.0,2,188.0,0.581775905477647,0.966872281451439,3.95955251818501
60.0,2,189.0,0.580518785829247,0.967658730176586,3.94998961152474
60.0,2,190.0,0.579277261504796,0.968437907949258,3.94051475648864
60.0,2,191.0,0.578051028879636,0.969209919275728,3.93112662212504
