ppl,ub_ar,ub_ne,ub_he,urf_ar,urf_ne,urf_he,d1h_b_ar,d1h_b_ne,d1h_b_he,s_ar,s_ne,s_he
134.0,-264.90922822962193,-242.73320828677146,-251.65781872040367,307.005579003325,303.344236504236,319.921721666747,7.559782423367165,14.393675277759742,4.7153593988994675,-0.163011596946225,0.269595326016945,0.789297438798461
135.0,-266.14327862598213,-244.02053244803437,-253.08267223836,308.34167595889,304.723470756748,321.43695613147,7.6695086632006655,14.551260453594606,4.742839167642835,-0.158922283406734,0.270964649623453,0.788599004337176
136.0,-267.37284779978904,-245.3032034099497,-254.5024620030928,309.672972582932,306.097839133894,322.946994112451,7.779549421485417,14.708626153820392,4.770199026740441,-0.154877086298711,0.27231390593852,0.7879110339997
137.0,-268.59798431004674,-246.58127113516326,-255.9172414061012,310.999520460976,307.467392845465,324.451888715532,7.889897264129162,14.865767186287963,4.797440516625738,-0.150875400827875,0.273643509102213,0.787233322651531
138.0,-269.8187358448771,-247.85478469939994,-257.32706290751304,312.321370260294,308.832182209141,325.951692148179,8.000544873126858,15.022678568651889,4.824565146444513,-0.146916631110571,0.274953862168601,0.786565669829175
139.0,-271.0351492432299,-249.1237923133436,-258.73197805868915,313.638571752638,310.192256672105,327.446455740613,8.111485045001391,15.179355530748985,4.851574394779088,-0.143000190071449,0.27624535750081,0.785907879501412
140.0,-272.24727366158567,-250.3883413438263,-260.1320375241241,314.951177242756,311.547664831974,328.936229966309,8.222734853951067,15.3357935059734,4.878469710640976,-0.139125489463817,0.277518377118555,0.785259760303297
141.0,-273.45514729800703,-251.64847833435687,-261.5272911026749,316.259227191031,312.898454457095,330.421064461881,8.33423837884944,15.491988124717363,4.905252514065492,-0.135291981588231,0.27877329303687,0.784621125073632
142.0,-274.65881845917903,-252.90424902501005,-262.9177877481378,317.562773026281,314.244672506219,331.90100804638,8.446013546054816,15.647935208055259,4.931924196958016,-0.13149909283905,0.280010467591387,0.783991790895148
143.0,-275.8583307896859,-254.15569837170372,-264.3035755892014,318.861861150035,315.586365147579,333.376108740018,8.558053594027838,15.803630761422815,4.95848612380781,-0.127746270335422,0.281230253750747,0.78337157901925
144.0,-277.0537271836954,-255.40287056488452,-265.68470194879654,320.156537171759,316.923577777399,334.846413782353,8.670351868176525,15.959070968970003,4.98493963239489,-0.12403296947836,0.28243299541672,0.782760314727449
145.0,-278.2450498028985,-256.6458090476454,-267.0612133628667,321.446845927661,318.256355037841,336.311969649936,8.782901819370654,16.114252187441288,5.011286034482143,-0.120358653843058,0.283619027712737,0.782157827242919
146.0,-279.4323400939015,-257.8845565332951,-268.43315559857876,322.732831498932,319.584740834426,337.772822073458,8.89569700246393,16.269170940765875,5.037526616476103,-0.116722795072463,0.284788677261264,0.781563949636032
147.0,-280.61563880509107,-259.119155022401,-269.8005736719957,324.014537229426,320.908778352937,339.229016054394,9.00873107483291,16.423823914547715,5.063662640076921,-0.113124872769396,0.285942262450528,0.780978518731184
148.0,-281.7949860029903,-260.3496458193226,-271.1635118652292,325.292005742824,322.228510075831,340.680595881181,9.12199779493066,16.578207950828208,5.089695342904902,-0.109564374389588,0.287080093691122,0.780401375015926
149.0,-282.97042108812747,-261.5760695482562,-272.522013743092,326.565278959277,323.543977798169,342.127605144935,9.235491020851587,16.73232004296647,5.115625939101955,-0.10604079513436,0.288202473663021,0.779832362551823
150.0,-284.14198281043014,-262.7984661688068,-273.8761221692665,327.834398111563,324.855222643085,343.570086754723,9.349204708914037,16.886157330705363,5.141455619929804,-0.102553637843505,0.289309697553186,0.779271328889724
151.0,-285.30970928416775,-264.0168749911048,-275.2258793220086,329.099403760769,326.162285076815,345.008082952413,9.46313291225299,17.039717095381423,5.16718555433893,-0.0991024128888959,0.290402053284603,0.778718124980456
152.0,-286.47363800245375,-265.23133469048304,-276.5713267094002,330.360335811518,327.465204923291,346.441635327104,9.577269779431942,17.192996755274134,5.192816889516534,-0.0956866380680695,0.29147982173666,0.778172605096763
153.0,-287.63380585132586,-266.4418833217313,-277.912505184169,331.617233526748,328.764021378323,347.870784829163,9.691609553071755,17.345993861090722,5.218350751432248,-0.0923058384980959,0.292543276957488,0.777634626749759
154.0,-288.7902491234192,-267.64855833294075,-279.2494549580885,332.870135542076,330.058773023385,349.295571783873,9.806146568478287,17.498706097213876,5.243788245356206,-0.0889595465110741,0.293592686366729,0.77710405061064
