ppl,f,ub_ar,ub_ne,ub_he,urf_ar,urf_ne,urf_he,d1h_b_ar,d1h_b_ne,d1h_b_he,s_ar,s_ne,s_he
8.0,40.0,-57.413160509227076,-33.2812942560902,-28.40500100388212,82.4066168997803,77.6177126932049,79.8115905885828,0.0,0.0011854550677893668,0.07306843750708357,-1.0,-0.974032867087753,1.0
8.0,50.0,-34.584422052591755,-10.009956922718118,-3.3412597405785363,58.3629247845613,54.1394941056443,55.2398694907737,0.0,0.0,0.008226972263091256,-1.0,-1.0,1.0
8.0,60.0,-19.912137528213073,4.853698886448036,12.524046000541105,43.1200948995137,39.5911917288456,40.3127725329257,0.0,0.0,0.0,-1.0,-2.0,-2.0
8.0,70.0,-9.84512667990731,15.030064498627603,23.342750765251882,32.8303392753076,29.9760092607992,30.5988095647914,0.0,0.0,0.0,-2.0,-2.0,-2.0
8.0,80.0,-2.60937571504493,22.36590324578503,31.14516627018408,25.5742591045681,23.3180306140493,23.9466204680416,0.0,0.0,0.0,-2.0,-2.0,-2.0
8.0,90.0,2.7786136233416237,27.873637605575265,37.02638377849507,20.2893387905834,18.5393008263993,19.2059960601406,0.0,0.0,0.0,-2.0,-2.0,-2.0
8.0,100.0,6.906322793354118,32.14921276446677,41.62116379708701,16.3419411357975,15.0089906771976,15.7170704223366,0.0,0.0,0.0,-2.0,-2.0,-2.0
9.0,30.0,-106.33109936304635,-83.62327765065785,-83.46347069696066,134.574250163433,129.837024289445,135.897656957674,0.027088957111946053,0.17099820681092595,0.26906862049571134,-0.952756780083605,-0.491367825023496,0.904628951151865
9.0,40.0,-64.44745849853805,-40.494017645082714,-36.24017193605375,89.8663103462805,85.0064332273868,87.6555110052148,0.0,0.00866645715066829,0.11305271188751052,-1.0,-0.889747018792655,1.00006667764219
9.0,50.0,-40.03402510073661,-15.5540415297029,-9.294322935232522,64.0739741617352,59.6709771827129,60.9876214813229,0.0,0.0,0.02068099853572101,-1.0,-1.0,1.0
9.0,60.0,-24.291092692094466,0.4208625330290303,7.797545351643272,47.6447936070382,43.8787413883114,44.6893712936927,0.0,0.0,0.0,-1.0,-2.0,-2.0
9.0,70.0,-13.452974129989293,11.380105880346846,19.460366406230833,36.4968088477752,33.3823327217062,34.0289308015267,0.0,0.0,0.0,-1.0,-2.0,-2.0
9.0,80.0,-5.6381847673045336,19.288465513471383,27.866757996217196,28.593299964108,26.0763577222657,26.6977946913382,0.0,0.0,0.0,-2.0,-2.0,-2.0
9.0,90.0,0.1972617384757065,25.226325682493687,34.193394150245155,22.8057013029851,20.8080457873709,21.4553185541769,0.0,0.0,0.0,-2.0,-2.0,-2.0
9.0,100.0,4.677783204207678,29.831853085830954,39.12489296739787,18.4599914521222,16.8999229530778,17.5861921386925,0.0,0.0,0.0,-2.0,-2.0,-2.0
10.0,30.0,-115.47817144797446,-93.09397469084925,-93.93164509658192,144.384422873824,139.784894965818,146.747379808363,0.04928508717869034,0.24946811531192314,0.3223210829416667,-0.929111839952434,-0.441538842548967,0.878443491883054
10.0,40.0,-71.14163279924489,-47.37135263807586,-43.734138274215795,96.981596310218,92.0876979342929,95.2111484879926,0.0,0.024519655198738357,0.15875114372521854,-1.0,-0.800200620124355,0.993278741197524
10.0,50.0,-45.23513233133431,-20.855837999743592,-15.003094160550042,69.5432813191711,65.0010715093335,66.5570447776113,0.0,0.0,0.03973848727367657,-1.0,-1.0,1.0
10.0,60.0,-28.483303968793727,-3.828203026124953,3.2587493684332642,51.997586550305,48.0323644765976,48.952217274735,0.0,0.0,0.002946333569884877,-1.0,-1.0,1.0
10.0,70.0,-16.91754336151464,7.876087852915369,15.731516672610297,40.0410187858483,36.698923321342,37.3845093303598,0.0,0.0,0.0,-1.0,-2.0,-2.0
10.0,80.0,-8.554902416832373,16.332165908513574,24.720677888776688,31.52610150179,28.7744033879793,29.3989108533568,0.0,0.0,0.0,-2.0,-2.0,-2.0
10.0,90.0,-2.2946150618459242,22.68377185733519,31.47924735930227,25.2622745286527,23.0363842068772,23.670273786502,0.0,0.0,0.0,-2.0,-2.0,-2.0
10.0,100.0,2.522377615605947,27.608405802093163,36.73869965047989,20.5376697809822,18.7640064587694,19.4312511756793,0.0,0.0,0.0,-2.0,-2.0,-2.0
11.0,30.0,-124.20447716811853,-102.13854708812346,-103.95076561703765,153.754365305274,149.309921715967,157.169139195473,0.07799986889006982,0.3405827388169916,0.373861141270705,-0.904849316027908,-0.40028226144015,0.85368041987469
11.0,40.0,-77.54076184390722,-53.956545182811524,-50.92948012052504,103.796089597028,98.896674514231,102.50803325487,0.00021233422293203164,0.04910645252012382,0.20848878116761316,-0.99953985873248,-0.723682163983681,0.980901905142149
11.0,50.0,-50.21893522123772,-25.945483573169064,-20.49791311977299,74.7987221414152,70.1497710960833,71.9636417292228,0.0,0.0,0.06516626553463796,-1.0,-1.0,1.0
11.0,60.0,-32.51085430913953,-7.916100842164788,-1.1164260368050094,56.1958900341214,52.0631694936695,53.1095851355236,0.0,0.0,0.007670777149114911,-1.0,-1.0,1.0
11.0,70.0,-20.254831066335175,4.499730404419999,12.135350835659885,43.4732888428063,39.9316572401394,40.6700403143651,0.0,0.0,0.0,-1.0,-2.0,-2.0
11.0,80.0,-11.371514081911549,13.481158663447818,21.687799798222812,34.3782079399411,31.4149736081774,32.0524199319009,0.0,0.0,0.0,-2.0,-2.0,-2.0
11.0,90.0,-4.706367599022915,20.231451515843876,28.865727699833958,27.6613849336829,25.2253324465275,25.8522003265472,0.0,0.0,0.0,-2.0,-2.0,-2.0
11.0,100.0,0.432425299448294,25.46501233663324,34.44485330370952,22.5751812628661,20.6012250665997,21.2529629583759,0.0,0.0,0.0,-2.0,-2.0,-2.0
12.0,30.0,-132.56337839202354,-110.80978305527583,-113.57442732576244,162.738739547601,158.461807353465,167.209895646348,0.11303924049937467,0.44305212105866065,0.4234779717984941,-0.880492627487897,-0.365230490277286,0.830491852189739
